ID,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,Nb_Ventes,PrixMoyen_M2,LATITUDE,LONGITUDE
COMMUNE_0000000009756532,33136,33,75,200069599.0,COURS DE MONSEGUR,280,3.0,1408.0,44.6515856,0.1176366
COMMUNE_0000000009754783,33500,33,75,200023794.0,SAMONAC,429,4.0,2060.0,45.07319,-0.57063
COMMUNE_0000000009755409,33483,33,75,243301249.0,SAINT SULPICE ET CAMEYRAC,4584,59.0,2782.0,44.9101967,-0.3909503
COMMUNE_0000000009755609,33108,33,75,243301454.0,CASTILLON LA BATAILLE,3160,41.0,1234.0,44.8533324,-0.0450873
COMMUNE_0000000009756096,33135,33,75,200069599.0,COURPIAC,122,,,44.75426,-0.18236
COMMUNE_0000000009757193,33512,33,75,200043982.0,SIGALENS,380,7.0,1465.0,44.44909,-0.04571
COMMUNE_0000000009754586,33146,33,75,243301447.0,CUSSAC FORT MEDOC,2187,30.0,1821.0,45.1190261,-0.728851
COMMUNE_0000000009753929,33389,33,75,243300811.0,SAINT CIERS SUR GIRONDE,3025,52.0,1161.0,45.2934579,-0.6158131
COMMUNE_0000000009757372,33507,33,75,200043982.0,SAUVIAC,321,,,43.4058333,0.4541667
COMMUNE_0000000009756538,33250,33,75,200044394.0,LOUBENS,301,4.0,1233.0,44.6304623,-0.0378889
COMMUNE_0000000009754766,33315,33,75,200070092.0,PEINTURES,1576,18.0,1274.0,45.0690439,-0.0879796
COMMUNE_0000000009756785,33444,33,75,200044394.0,SAINT MARTIN DE SESCAS,603,4.0,1893.0,44.5754587,-0.1623302
COMMUNE_0000000009754764,33385,33,75,200070092.0,SAINT CHRISTOPHE DE DOUBLE,725,5.0,1352.0,45.0814101,0.0158649
COMMUNE_0000000009755626,33303,33,75,200070092.0,NERIGEAN,834,6.0,2276.0,44.8417122,-0.2890547
COMMUNE_0000000009754792,33268,33,75,243301447.0,MARGAUX CANTENAC,2953,40.0,2256.0,45.03640425,-0.6702013282453639
COMMUNE_0000000009755215,33417,33,75,243301389.0,SAINTE HELENE,2767,27.0,2546.0,-15.9690718,-5.71295
COMMUNE_0000000009754165,33395,33,75,200069995.0,SAINT ESTEPHE,1625,32.0,1352.0,45.5925,0.6633333
COMMUNE_0000000009755615,33459,33,75,200035533.0,SAINT PEY D ARMENS,203,4.0,1412.0,44.8562529,-0.1122069
COMMUNE_0000000009756776,33331,33,75,200044394.0,PONDAURAT,473,3.0,1465.0,44.5363986,-0.0882453
COMMUNE_0000000009755410,33433,33,75,243301249.0,SAINT LOUBES,9375,106.0,2695.0,44.9164747,-0.4269087
COMMUNE_0000000009755624,33071,33,75,243301454.0,BRANNE,1274,15.0,1655.0,44.8304495,-0.1872229
COMMUNE_0000000009756083,33277,33,75,243301371.0,MASSUGAS,226,2.0,2403.0,44.7690588,0.0859352
COMMUNE_0000000009755879,33245,33,75,243301439.0,LIGNAN DE BORDEAUX,827,7.0,3151.0,44.7969124,-0.4281603
COMMUNE_0000000009757197,33391,33,75,200043982.0,SAINT COME,319,3.0,1651.0,44.4247965,-0.1812926
COMMUNE_0000000009755202,33219,33,75,243301397.0,LANDE DE FRONSAC,2351,31.0,2092.0,44.9787083,-0.3814022
COMMUNE_0000000009755868,33157,33,75,200070092.0,ESPIET,778,1.0,1932.0,44.7983974,-0.26155613202050343
COMMUNE_0000000009756786,33432,33,75,200043974.0,SAINT LOUBERT,229,4.0,1255.0,44.55824,-0.16879
COMMUNE_0000000009757373,33235,33,75,200043982.0,LAVAZAN,236,1.0,1124.0,44.39326,-0.10929
COMMUNE_0000000009755419,33519,33,75,243300316.0,TAILLAN MEDOC,10082,117.0,3413.0,44.9044049,-0.6693402
